id,name,lat,lon,typ,status,qualitaet,preis,quelle_import,dupe_flag,geaendert_am,gmaps_url,place_id,kueche,tags,quelle,geprueft_am
r0109,CaliBocca,52.5039033,13.3168666,Restaurant,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJ1Vrbe-RQqEcRnpasKjzVzTY,,"lunch, dinner",,2026-07-29
r0110,CANAL Rosenthaler Straße,52.5242082,13.4020973,Dessert,besucht,gut,normal,fav,filiale,2026-08-05,,ChIJiX4h3-BRqEcRe0iFUHG6JRo,,"fruehstueck, kaffee",,2026-07-28
r0111,CANAL Linienstraße,52.5287841,13.4063433,Dessert,besucht,gut,normal,fav,filiale,2026-08-06,,ChIJl0PI6sNRqEcR_zfaeIZJFFw,,"fruehstueck, kaffee",,2026-07-28
r0112,Cappuccino Grand Café - Mitte,52.526665,13.393529,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJGcIfn-hRqEcR8gKjBD3xKuU,,"fruehstueck, brunch, kaffee",,2026-07-29
r0113,Capvin,52.5246173,13.4028222,Pizza,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,,,"lunch, dinner",,2026-07-29
r0114,Capvin by Vincenzo Capuano,52.5307411,13.401757,Pizza,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJhRAnXyNRqEcR2eqO2Hbctvs,,"lunch, dinner",,2026-07-29
r0115,Caramel,52.50766,13.39293,Restaurant,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJ5V3atdZRqEcRrwI2VjyKE20,,lunch,,2026-07-29
r0116,Cassiopeia,52.5071578,13.4547007,Club/Livemusik,besucht,mittel,normal,fav,,2026-07-29,,ChIJsdkMp1lOqEcRnfv0Hibk2JI,,"drinks, music",,2026-07-29
r0118,Cecconi's,52.5275319,13.4154045,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJuwieQxxOqEcRTnrjT702670,,"lunch, dinner",,2026-07-29
r0119,chanchanchan,52.5412523,13.4229019,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJtcLAJcpNqEcRSGeThUYhK74,koreanisch,"lunch, dinner",,2026-07-29
r0120,CHAY UMI VEGAN,52.5474499,13.4141792,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJgfG3ygZSqEcRRK0gW-uJctw,,"lunch, dinner",,2026-07-29
r0121,Chay Village,52.5136111,13.4583333,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJBejJE15OqEcRukX72QAqviY,vietnamesisch,"lunch, dinner",,2026-07-29
r0122,Chez Maurice,52.532533,13.435104,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJPxgumQ5OqEcRujC3cl3Ikek,,"lunch, dinner",,2026-07-29
r0123,ChickenBuzz,52.5291213,13.4020658,Imbiss,besucht,gut,normal,fav,,2026-07-29,,ChIJeVVjZeRRqEcRXGGfdCmPlOg,,"lunch, dinner",,2026-07-29
r0124,Chipperfield Kantine,52.5283062,13.4008859,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJFbKbFeRRqEcRY5F8Q6gX8rU,,"lunch, dinner",,2026-07-29
r0125,Chupenga Burritos & Salads,52.5124985,13.3943483,Imbiss,besucht,sehr_gut,guenstig,fav,filiale,2026-07-29,,ChIJWXZnG9pRqEcRutGb2PX0qOI,,"lunch, dinner",,2026-07-29
r0126,Chupenga Burritos & Salads,52.506432,13.392965,Imbiss,besucht,sehr_gut,guenstig,fav,filiale,2026-07-29,,,,"lunch, dinner",,2026-07-29
r0127,Chupenga Burritos & Salads,52.504205,13.443069,Imbiss,besucht,sehr_gut,guenstig,fav,filiale,2026-07-29,,ChIJFQydggdPqEcRm6BNjXbINZM,,"lunch, dinner",,2026-07-29
r0128,Chén Chè,52.52739,13.4023847,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJPbBM-uNRqEcRWuXFbs_Ep2w,vietnamesisch,"lunch, dinner",,2026-07-29
r0129,Clara Vere,52.5130517,13.3041392,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJBwkkwyBRqEcRIkenU7rRhU8,,"lunch, dinner",,2026-07-29
r0130,Clash,52.491894,13.388514,Kneipe,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJX82QiihQqEcRpFEVHqNvAbk,,drinks,,2026-07-29
r0131,Club der Visionäre,52.496777,13.450465,Club/Livemusik,besucht,mittel,normal,fav,,2026-07-29,,ChIJyWt69VROqEcRSMOK4kinISs,,"drinks, music",,2026-07-29
r0132,Coccodrillo,52.5323355,13.4017285,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJ328jQ2BRqEcRhtcplP6VfIs,,"lunch, dinner",,2026-07-29
r0133,Cocolo Ramen Mitte,52.5271711,13.3992772,Asia,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJj4Ev5LtRqEcRpwsZRM71sZQ,japanisch,"lunch, dinner",,2026-07-29
r0134,CODA Dessert Bar,52.489976,13.427357,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJvVDs7bZPqEcRVuzEV98NWz8,,"lunch, dinner",,2026-07-29
r0135,Coffeemamas Shop,52.5241691,13.3492114,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJI03a7aBRqEcRaqX641e09pc,,"fruehstueck, kaffee, brunch",,2026-07-29
r0136,Crack Bellmer Bar,52.507699,13.454751,Club/Livemusik,besucht,mittel,normal,fav,,2026-07-29,,ChIJi3zkfllOqEcRYiYfGeh2wAc,,"drinks, music",,2026-07-29
